id,capacity,operator,longitude,latitude
node/3010069512,2,E-On,"12,5804004","55,6807362"
node/3010069513,1,E-On,"12,5913211","55,6818668"
node/3010069514,1,E-On,"12,5913516","55,6819038"
node/3010069515,2,E-On,"12,5560623","55,6822221"
node/3010069516,2,E-On,"12,5559654","55,6822426"
node/3010069517,2,E-On,"12,5819899","55,6824038"
node/3010069518,2,E-On,"12,5818876","55,6824316"
node/3010069519,2,E-On,"12,4883404","55,6826394"
node/3010069520,2,E-On,"12,4884385","55,6826405"
node/3010069521,2,Københavns Kommune,"12,58477","55,6833331"
node/3010069522,2,Københavns Kommune,"12,5847785","55,6833432"
node/3010069523,2,Københavns Kommune,"12,5847479","55,6833445"
node/3010069524,2,Københavns Kommune,"12,5849704","55,683562"
node/3010069525,2,E-On,"12,5556221","55,6842022"
node/3010069526,2,E-On,"12,5556468","55,6842124"
node/3010069527,2,E-On,"12,5556694","55,6842239"
node/3010069528,2,E-On,"12,5556965","55,6842347"
node/3010069529,2,E-On,"12,5557236","55,6842461"
node/3010069530,2,E-On,"12,5557532","55,6842587"
node/3010069531,2,Delebilfonden,"12,5557991","55,6842812"
node/3010069532,2,E-On,"12,5716616","55,6847791"
node/3010069933,2,E-On,"12,5717193","55,6848264"
node/3010069934,2,E-On,"12,5822103","55,6869286"
node/3010069935,2,E-On,"12,5822554","55,68698"
node/3010069936,2,E-On,"12,5822984","55,687031"
node/3010069937,1,E-On,"12,5893003","55,6879268"
node/3010069938,2,E-On,"12,597296","55,6887058"
node/3010069939,2,E-On,"12,5973333","55,6887488"
node/3010069940,1,E-On,"12,5776767","55,6916537"
node/3010069941,1,E-On,"12,5777263","55,6916957"
node/3010069942,1,E-On,"12,577777","55,691737"
node/3010069943,1,E-On,"12,5611677","55,6923279"
node/3010069944,1,E-On,"12,5611682","55,6923526"
node/3010069945,1,E-On,"12,5611737","55,692377"
node/3010069946,2,E-On,"12,5870511","55,6932119"
node/3010069947,2,E-On,"12,5870022","55,6932529"
node/3010069948,2,E-On,"12,5447094","55,6938869"
node/3010069949,2,E-On,"12,5446565","55,6939235"
node/3010069950,2,E-On,"12,5522318","55,6947064"
node/3010069951,2,E-On,"12,5523279","55,6947286"
node/3010069952,2,E-On,"12,5703437","55,6964044"
node/3010069953,2,E-On,"12,5702936","55,6964355"
node/3010069954,2,E-On,"12,5879646","55,6964484"
node/3010069955,2,E-On,"12,5880475","55,6964615"
node/3010069956,2,E-On,"12,5881325","55,6964741"
node/3010069957,2,E-On,"12,5402277","55,6986168"
node/3010069958,2,E-On,"12,5862347","55,6990413"
node/3010069959,1,E-On,"12,5861948","55,6990973"
node/3010069960,1,E-On,"12,5861782","55,6991221"
node/3010069961,1,E-On,"12,5861596","55,699145"
node/3010069962,2,E-On,"12,5783239","55,6994462"
node/3010069963,2,E-On,"12,5784203","55,6994708"
node/3010069964,2,MoveAbout,"12,5812709","55,7014254"
node/3010069967,2,MoveAbout,"12,5804182","55,704847"
node/3010069968,2,E-On,"12,5897717","55,7061856"
node/3010069969,2,E-On,"12,589864","55,7061943"
node/3010069970,2,E-On,"12,5180718","55,7064613"
node/3010069971,2,E-On,"12,5179559","55,7064765"
node/3010069972,2,E-On,"12,5751062","55,708289"
node/3010069973,2,E-On,"12,5751619","55,7083216"
node/3011939456,,CLEVER A/S,"8,8664468","54,9338864"
node/3016312139,,eE4mobile eG,"8,9612546","54,9165815"
node/3065331709,26,Tesla Motors Inc.,"12,1630429","55,4890115"
node/3270332266,,Tesla Motors Inc.,"12,6131755","55,614675"
node/3270354705,6,Tesla Motors Inc.,"9,3610004","55,0673102"
node/3437800274,2,E.ON,"12,2313963","55,5606585"
node/3471079426,2,,"9,8765818","57,0858441"
node/3471079427,2,,"9,8766542","57,0858706"
node/3471079428,2,,"9,8767228","57,0858956"
node/3474613609,6,E.ON,"12,0657669","55,8378616"
node/3479287961,2,CLEVER,"12,0856983","55,8490158"
node/3518098824,1,Eon,"9,5630891","55,6404384"
node/3533092958,2,Aalborg Kongres & Kultur Center,"9,9149515","57,0440664"
node/3714094557,,,"10,5938479","55,8318371"
node/3723463000,3,Clever,"12,0652209","55,8478653"
node/3841589199,,Clever,"12,1573443","55,4867106"
node/3867150462,8,Tesla Motors Inc.,"11,898515","54,900385"
node/3867166480,6,Tesla Motors Inc.,"10,1387873","56,1780039"
node/3993313057,,Eon,"8,5243808","56,8442889"
node/4007492306,1,Private;Uffe Kjems,"12,5493573","55,7252442"
node/4267719433,,Förde Reederei Seetouristik GmbH,"8,5272164","55,0576153"
node/4273746010,10,Tesla Motors Inc.,"11,3617956","55,3868231"
node/4275220081,,,"9,6719234","56,3805179"
node/4278263598,,,"9,78814","54,9115485"
node/4370376836,,,"14,8027793","55,2778681"
node/4387663611,,,"9,8873045","55,8708962"
node/4494319275,2,E-on,"12,4984196","55,7050401"
node/4494319276,2,E-on,"12,4984384","55,7050068"
node/4504190918,2,E.ON,"12,5808434","55,7067316"
node/4506468275,2,E.ON,"12,5807244","55,7067322"
node/4811895098,2,http://www.intercharge.eu,"8,2357595","56,0944852"
node/4960234643,,Tesla,"9,6678983","55,7864289"
node/4960520235,2,Eon,"11,0879871","55,6797121"
node/5012522699,,,"8,4936885","55,9468627"
node/5030781001,,,"9,6720035","56,3805257"
node/5133026005,4,Clever,"8,757175","55,324665"
node/5233357504,2,,"9,6381382","56,1537237"
node/5291201241,4,EON,"12,5474326","55,674829"
node/5370085162,3,Clever,"10,4331991","55,3780641"
node/5557098322,2,E-On,"12,5766278","55,7201983"
node/5557098332,2,E-On,"12,5767201","55,720206"
node/5627652858,2,Clever,"9,6952119","56,7833177"
node/5643394278,2,Clever,"11,8616696","55,5912881"
node/5670536520,,,"10,2061228","56,1551127"
node/5670537921,,,"10,2011425","56,1546353"
node/5670537922,4,Clever,"10,1894369","56,1701794"
node/5670573847,,,"10,2076271","56,1938261"
node/5670573848,,,"10,1966785","56,1809817"
node/5670573849,6,e-on,"10,2111104","56,1697383"
node/5670573850,,,"10,1918228","56,1693283"
node/5670573851,,,"10,1863188","56,1665755"
node/5670573852,6,e-on,"10,1884669","56,1612892"
node/5670573853,6,e-on,"10,2019621","56,1614552"
node/5670573854,6,E-On,"10,198687","56,1580504"
node/5670573855,,,"10,2046094","56,1587446"
node/5670573856,,,"10,1845899","56,1596544"
node/5670612197,16,Tesla,"9,6907306","56,7834612"
node/5670625624,2,Clever,"10,2013769","56,1559288"
node/5786397877,2,E.ON,"12,5488546","55,7009897"
node/5786397878,2,E.ON,"12,5487998","55,7009606"
node/5786397879,2,E.ON,"12,5455166","55,7029351"
node/5786397880,2,E.ON,"12,5454474","55,7028939"
node/5808132169,,Clever,"9,9306397","56,0330132"
node/5808132170,,Clever,"9,9346879","57,0366189"
node/5808132171,,Clever,"9,9853264","57,5763745"
node/5808132172,,Clever,"9,4618613","55,5132561"
node/5808132173,,Clever,"9,3510919","54,8320328"
node/5808132259,,Clever,"9,9940096","57,4552404"
node/5808132260,,Clever,"9,3765695","55,216405"
node/5808132456,,Clever,"9,9992203","56,449477"
node/5825575715,2,,"10,0019175","56,4489874"
node/5847388767,,EasyPark,"9,3994407","55,514328"
node/5847388768,,EasyPark,"9,3949219","55,511888"
node/5863479220,,Clever,"8,8876064","57,0482415"
node/5868965287,2,Clever,"10,2429161","55,0940132"
node/5911096791,2,E.ON,"12,5287425","55,688724"
node/5911096792,2,E.ON,"12,5288501","55,688704"
node/5911096793,1,E.ON,"12,5402729","55,6985884"
node/5911096794,2,E.ON,"12,5407742","55,7004744"
node/5911096795,2,E.ON,"12,5408103","55,7005113"
node/5919072739,2,Comwell Hotel,"9,7870081","54,9058374"
node/5926533533,4,E-On,"12,5420771","55,6486415"
node/5926759357,2,E.ON,"12,5482707","55,7373236"
node/5926759358,2,E.ON,"12,5483317","55,7373504"
node/5926759359,1,Clever,"12,5483919","55,7373823"
node/5936572854,2,Clever,"10,8744387","56,4150042"
node/5936572855,2,Clever,"10,8744971","56,4149775"
node/6004548803,1,,"11,3792691","55,5104548"
node/6066544907,2,e-on,"9,797495","56,6323888"
node/6066544908,2,Clever,"9,8281546","56,6271432"
node/6107238023,2,EON,"9,8652013","55,9781232"
node/6107238024,2,,"9,8699874","55,978447"
node/6113965436,2,Clever,"9,5836776","55,7237847"
node/6114546632,,Clever,"9,7677845","55,5097653"
node/6114556052,,Clever,"11,3531578","55,3906986"
node/6114558541,,Clever,"12,2948545","55,5829066"
node/6137482337,2,E.ON,"10,1671713","56,1931184"
node/6223787440,,Ionity,"9,9786222","56,0681534"
node/6363080952,1,Lidl,"9,4164906","55,0353096"
node/6432073371,3,E.ON,"10,0761839","56,412357"
node/6505632408,,Clever,"12,6213082","55,6623141"
node/6505632409,,Clever,"12,6212499","55,6623141"
node/6551516268,2,EVBox,"12,5431287","55,7005103"
node/6551516269,2,EVBox,"12,5430919","55,7004728"
node/6561394899,,,"9,9418115","57,2219669"
node/6604021029,1,Hotel Svanen,"9,1334802","55,7291796"
node/6605973467,,,"9,3718332","55,2155932"
node/6653386026,2,,"12,5782141","55,6715866"
node/6653386027,2,,"12,5781329","55,6715386"
node/6653386028,2,,"12,5780568","55,671492"
node/6718133172,,E-on,"11,6071124","55,4552431"
node/6724621985,,Clever,"9,9610971","57,5904463"
node/6735570061,,,"9,7405019","56,8430077"
node/6742125872,3,e.On,"12,4604012","55,6454821"
node/6756957218,4,Powered by E.ON Drive & Clever,"9,7183631","55,5357496"
node/6765927416,2,Clever,"12,1938165","55,3016517"
node/6801257540,2,E-on,"10,6067722","55,0596796"
node/6883664599,,,"12,5946461","55,6879008"
node/6883672207,4,E.ON,"12,5635384","55,6831335"
node/6987675726,2,E.ON,"8,5321739","55,911377"
node/6987675727,2,E.ON,"8,5321102","55,9113717"
node/7075218424,50,IONITY,"12,6565998","55,6311128"
node/7164302349,,,"8,4674772","55,4627641"
node/7164302350,,,"8,4569343","55,5100465"
node/7164302351,,,"8,4454374","55,465685"
node/7164302352,,,"8,4839828","55,510749"
node/7164302353,,,"8,483958","55,5107322"
node/7164302354,,,"8,4839358","55,510714"
node/7164302355,,,"8,4839098","55,5106937"
node/7164302356,,,"8,4838962","55,5106789"
node/7164302357,,,"8,4838788","55,5106565"
node/7164332238,2,,"8,4526468","55,4651577"
node/7166561721,,,"12,5576253","55,6654081"
node/7183922576,,Clever,"10,5537561","56,4274688"
node/7183922577,,Clever,"10,5539208","56,4274591"
node/7183922578,,Clever,"10,5540878","56,4274488"
node/7193899518,,SEF,"10,6044593","55,0588454"
node/7193899519,2,Clever,"10,6039363","55,0583584"
node/7193899520,2,SEF,"10,6089212","55,0599572"
node/7193899521,,Clever,"10,615384","55,0639161"
node/7195685546,3,,"12,5851008","55,6832101"
node/7197332082,2,Ø Strøm,"10,6752286","54,751701"
node/7197332083,2,Ø Strøm,"10,6991742","54,8284887"
node/7197332084,2,Ø Strøm,"10,7170544","54,9356395"
node/7197343085,2,Ø Strøm,"10,8309004","54,9333559"
node/7197343086,2,Ø Strøm,"10,9023238","55,1350845"
node/7197343087,2,SEF,"10,6079365","55,0594389"
node/7197343088,1,SEF,"10,5786918","55,0571951"
